state,year,month,red,blue
Maryland,2016,12,0,1
Massachusetts,2016,1,0,1
Massachusetts,2016,2,0,1
Massachusetts,2016,3,0,1
Massachusetts,2016,4,0,1
Massachusetts,2016,5,0,1
Massachusetts,2016,6,0,1
Massachusetts,2016,7,0,1
Massachusetts,2016,8,0,1
Massachusetts,2016,9,0,1
Massachusetts,2016,10,0,1
Massachusetts,2016,11,0,1
Massachusetts,2016,12,0,1
Michigan,2016,1,1,0
Michigan,2016,2,1,0
Michigan,2016,3,1,0
Michigan,2016,4,1,0
Michigan,2016,5,1,0
Michigan,2016,6,1,0
Michigan,2016,7,1,0
Michigan,2016,8,1,0
Michigan,2016,9,1,0
Michigan,2016,10,1,0
Michigan,2016,11,1,0
Michigan,2016,12,1,0
Minnesota,2016,1,0,1
Minnesota,2016,2,0,1
Minnesota,2016,3,0,1
Minnesota,2016,4,0,1
Minnesota,2016,5,0,1
Minnesota,2016,6,0,1
Minnesota,2016,7,0,1
Minnesota,2016,8,0,1
Minnesota,2016,9,0,1
Minnesota,2016,10,0,1
Minnesota,2016,11,0,1
Minnesota,2016,12,0,1
Mississippi,2016,1,1,0
Mississippi,2016,2,1,0
Mississippi,2016,3,1,0
Mississippi,2016,4,1,0
Mississippi,2016,5,1,0
Mississippi,2016,6,1,0
Mississippi,2016,7,1,0
Mississippi,2016,8,1,0
Mississippi,2016,9,1,0
Mississippi,2016,10,1,0
Mississippi,2016,11,1,0
Mississippi,2016,12,1,0
Missouri,2016,1,1,0
Missouri,2016,2,1,0
Missouri,2016,3,1,0
Missouri,2016,4,1,0
Missouri,2016,5,1,0
Missouri,2016,6,1,0
Missouri,2016,7,1,0
Missouri,2016,8,1,0
Missouri,2016,9,1,0
Missouri,2016,10,1,0
Missouri,2016,11,1,0
Missouri,2016,12,1,0
Montana,2016,1,1,0
Montana,2016,2,1,0
Montana,2016,3,1,0
Montana,2016,4,1,0
Montana,2016,5,1,0
Montana,2016,6,1,0
Montana,2016,7,1,0
Montana,2016,8,1,0
Montana,2016,9,1,0
Montana,2016,10,1,0
Montana,2016,11,1,0
Montana,2016,12,1,0
Nebraska,2016,1,1,0
Nebraska,2016,2,1,0
Nebraska,2016,3,1,0
Nebraska,2016,4,1,0
Nebraska,2016,5,1,0
Nebraska,2016,6,1,0
Nebraska,2016,7,1,0
Nebraska,2016,8,1,0
Nebraska,2016,9,1,0
Nebraska,2016,10,1,0
Nebraska,2016,11,1,0
Nebraska,2016,12,1,0
Nevada,2016,1,0,1
Nevada,2016,2,0,1
Nevada,2016,3,0,1
Nevada,2016,4,0,1
Nevada,2016,5,0,1
Nevada,2016,6,0,1
Nevada,2016,7,0,1
Nevada,2016,8,0,1
Nevada,2016,9,0,1
Nevada,2016,10,0,1
Nevada,2016,11,0,1
Nevada,2016,12,0,1
New Hampshire,2016,1,0,1
New Hampshire,2016,2,0,1
New Hampshire,2016,3,0,1
New Hampshire,2016,4,0,1
New Hampshire,2016,5,0,1
New Hampshire,2016,6,0,1
New Hampshire,2016,7,0,1
New Hampshire,2016,8,0,1
New Hampshire,2016,9,0,1
New Hampshire,2016,10,0,1
New Hampshire,2016,11,0,1
New Hampshire,2016,12,0,1
New Jersey,2016,1,0,1
New Jersey,2016,2,0,1
New Jersey,2016,3,0,1
New Jersey,2016,4,0,1
New Jersey,2016,5,0,1
New Jersey,2016,6,0,1
New Jersey,2016,7,0,1
New Jersey,2016,8,0,1
New Jersey,2016,9,0,1
New Jersey,2016,10,0,1
New Jersey,2016,11,0,1
New Jersey,2016,12,0,1
New Mexico,2016,1,0,1
New Mexico,2016,2,0,1
New Mexico,2016,3,0,1
New Mexico,2016,4,0,1
New Mexico,2016,5,0,1
New Mexico,2016,6,0,1
New Mexico,2016,7,0,1
New Mexico,2016,8,0,1
New Mexico,2016,9,0,1
New Mexico,2016,10,0,1
New Mexico,2016,11,0,1
New Mexico,2016,12,0,1
New York,2016,1,0,1
New York,2016,2,0,1
New York,2016,3,0,1
New York,2016,4,0,1
New York,2016,5,0,1
New York,2016,6,0,1
New York,2016,7,0,1
New York,2016,8,0,1
New York,2016,9,0,1
New York,2016,10,0,1
New York,2016,11,0,1
New York,2016,12,0,1
North Carolina,2016,1,1,0
North Carolina,2016,2,1,0
North Carolina,2016,3,1,0
North Carolina,2016,4,1,0
North Carolina,2016,5,1,0
North Carolina,2016,6,1,0
North Carolina,2016,7,1,0
North Carolina,2016,8,1,0
North Carolina,2016,9,1,0
North Carolina,2016,10,1,0
North Carolina,2016,11,1,0
North Carolina,2016,12,1,0
North Dakota,2016,1,1,0
North Dakota,2016,2,1,0
North Dakota,2016,3,1,0
North Dakota,2016,4,1,0
North Dakota,2016,5,1,0
North Dakota,2016,6,1,0
North Dakota,2016,7,1,0
North Dakota,2016,8,1,0
North Dakota,2016,9,1,0
North Dakota,2016,10,1,0
North Dakota,2016,11,1,0
North Dakota,2016,12,1,0
Ohio,2016,1,1,0
Ohio,2016,2,1,0
Ohio,2016,3,1,0
Ohio,2016,4,1,0
Ohio,2016,5,1,0
Ohio,2016,6,1,0
Ohio,2016,7,1,0
Ohio,2016,8,1,0
Ohio,2016,9,1,0
Ohio,2016,10,1,0
Ohio,2016,11,1,0
Ohio,2016,12,1,0
Oklahoma,2016,1,1,0
Oklahoma,2016,2,1,0
Oklahoma,2016,3,1,0
Oklahoma,2016,4,1,0
Oklahoma,2016,5,1,0
Oklahoma,2016,6,1,0
Oklahoma,2016,7,1,0
Oklahoma,2016,8,1,0
Oklahoma,2016,9,1,0
Oklahoma,2016,10,1,0
Oklahoma,2016,11,1,0
Oklahoma,2016,12,1,0
Oregon,2016,1,0,1
Oregon,2016,2,0,1
Oregon,2016,3,0,1
Oregon,2016,4,0,1
Oregon,2016,5,0,1
Oregon,2016,6,0,1
Oregon,2016,7,0,1
Oregon,2016,8,0,1
Oregon,2016,9,0,1
Oregon,2016,10,0,1
Oregon,2016,11,0,1
Oregon,2016,12,0,1
Pennsylvania,2016,1,1,0
Pennsylvania,2016,2,1,0
Pennsylvania,2016,3,1,0
Pennsylvania,2016,4,1,0
Pennsylvania,2016,5,1,0
Pennsylvania,2016,6,1,0
Pennsylvania,2016,7,1,0
Pennsylvania,2016,8,1,0
Pennsylvania,2016,9,1,0
Pennsylvania,2016,10,1,0
Pennsylvania,2016,11,1,0
Pennsylvania,2016,12,1,0
Rhode Island,2016,1,0,1
Rhode Island,2016,2,0,1
Rhode Island,2016,3,0,1
Rhode Island,2016,4,0,1
Rhode Island,2016,5,0,1
Rhode Island,2016,6,0,1
Rhode Island,2016,7,0,1
Rhode Island,2016,8,0,1
Rhode Island,2016,9,0,1
Rhode Island,2016,10,0,1
Rhode Island,2016,11,0,1
Rhode Island,2016,12,0,1
South Carolina,2016,1,1,0
South Carolina,2016,2,1,0
South Carolina,2016,3,1,0
South Carolina,2016,4,1,0
South Carolina,2016,5,1,0
South Carolina,2016,6,1,0
South Carolina,2016,7,1,0
South Carolina,2016,8,1,0
South Carolina,2016,9,1,0
South Carolina,2016,10,1,0
South Carolina,2016,11,1,0
South Carolina,2016,12,1,0
South Dakota,2016,1,1,0
South Dakota,2016,2,1,0
South Dakota,2016,3,1,0
South Dakota,2016,4,1,0
South Dakota,2016,5,1,0
South Dakota,2016,6,1,0
South Dakota,2016,7,1,0
South Dakota,2016,8,1,0
South Dakota,2016,9,1,0
South Dakota,2016,10,1,0
South Dakota,2016,11,1,0
South Dakota,2016,12,1,0
Tennessee,2016,1,1,0
Tennessee,2016,2,1,0
Tennessee,2016,3,1,0
Tennessee,2016,4,1,0
Tennessee,2016,5,1,0
Tennessee,2016,6,1,0
Tennessee,2016,7,1,0
Tennessee,2016,8,1,0
Tennessee,2016,9,1,0
Tennessee,2016,10,1,0
Tennessee,2016,11,1,0
Tennessee,2016,12,1,0
Texas,2016,1,1,0
Texas,2016,2,1,0
Texas,2016,3,1,0
Texas,2016,4,1,0
Texas,2016,5,1,0
Texas,2016,6,1,0
Texas,2016,7,1,0
Texas,2016,8,1,0
Texas,2016,9,1,0
Texas,2016,10,1,0
Texas,2016,11,1,0
Texas,2016,12,1,0
Utah,2016,1,1,0
Utah,2016,2,1,0
Utah,2016,3,1,0
Utah,2016,4,1,0
Utah,2016,5,1,0
Utah,2016,6,1,0
Utah,2016,7,1,0
Utah,2016,8,1,0
Utah,2016,9,1,0
Utah,2016,10,1,0
Utah,2016,11,1,0
Utah,2016,12,1,0
Vermont,2016,1,0,1
Vermont,2016,2,0,1
Vermont,2016,3,0,1
Vermont,2016,4,0,1
Vermont,2016,5,0,1
Vermont,2016,6,0,1
Vermont,2016,7,0,1
Vermont,2016,8,0,1
Vermont,2016,9,0,1
Vermont,2016,10,0,1
Vermont,2016,11,0,1
Vermont,2016,12,0,1
Virginia,2016,1,0,1
Virginia,2016,2,0,1
Virginia,2016,3,0,1
Virginia,2016,4,0,1
Virginia,2016,5,0,1
Virginia,2016,6,0,1
Virginia,2016,7,0,1
Virginia,2016,8,0,1
Virginia,2016,9,0,1
Virginia,2016,10,0,1
Virginia,2016,11,0,1
Virginia,2016,12,0,1
Washington,2016,1,0,1
Washington,2016,2,0,1
Washington,2016,3,0,1
Washington,2016,4,0,1
Washington,2016,5,0,1
Washington,2016,6,0,1
Washington,2016,7,0,1
Washington,2016,8,0,1
Washington,2016,9,0,1
Washington,2016,10,0,1
Washington,2016,11,0,1
Washington,2016,12,0,1
West Virginia,2016,1,1,0
West Virginia,2016,2,1,0
West Virginia,2016,3,1,0
West Virginia,2016,4,1,0
West Virginia,2016,5,1,0
West Virginia,2016,6,1,0
West Virginia,2016,7,1,0
West Virginia,2016,8,1,0
West Virginia,2016,9,1,0
West Virginia,2016,10,1,0
West Virginia,2016,11,1,0
West Virginia,2016,12,1,0
Wisconsin,2016,1,1,0
Wisconsin,2016,2,1,0
Wisconsin,2016,3,1,0
Wisconsin,2016,4,1,0
Wisconsin,2016,5,1,0
Wisconsin,2016,6,1,0
Wisconsin,2016,7,1,0
Wisconsin,2016,8,1,0
Wisconsin,2016,9,1,0
Wisconsin,2016,10,1,0
Wisconsin,2016,11,1,0
Wisconsin,2016,12,1,0
Alabama,2020,1,1,0
Alabama,2020,2,1,0
Alabama,2020,3,1,0
Alabama,2020,4,1,0
Alabama,2020,5,1,0
Alabama,2020,6,1,0
Alabama,2020,7,1,0
Alabama,2020,8,1,0
Alabama,2020,9,1,0
Alabama,2020,10,1,0
Alabama,2020,11,1,0
Alabama,2020,12,1,0
Alaska,2020,1,1,0
Alaska,2020,2,1,0
Alaska,2020,3,1,0
Alaska,2020,4,1,0
Alaska,2020,5,1,0
Alaska,2020,6,1,0
Alaska,2020,7,1,0
Alaska,2020,8,1,0
Alaska,2020,9,1,0
Alaska,2020,10,1,0
Alaska,2020,11,1,0
Alaska,2020,12,1,0
Arizona,2020,1,0,1
Arizona,2020,2,0,1
Arizona,2020,3,0,1
Arizona,2020,4,0,1
Arizona,2020,5,0,1
Arizona,2020,6,0,1
Arizona,2020,7,0,1
Arizona,2020,8,0,1
Arizona,2020,9,0,1
Arizona,2020,10,0,1
Arizona,2020,11,0,1
Arizona,2020,12,0,1
Arkansas,2020,1,1,0
Arkansas,2020,2,1,0
Arkansas,2020,3,1,0
Arkansas,2020,4,1,0
Arkansas,2020,5,1,0
Arkansas,2020,6,1,0
Arkansas,2020,7,1,0
Arkansas,2020,8,1,0
Arkansas,2020,9,1,0
Arkansas,2020,10,1,0
Arkansas,2020,11,1,0
Arkansas,2020,12,1,0
California,2020,1,0,1
California,2020,2,0,1
California,2020,3,0,1
California,2020,4,0,1
California,2020,5,0,1
California,2020,6,0,1
California,2020,7,0,1
California,2020,8,0,1
California,2020,9,0,1
California,2020,10,0,1
California,2020,11,0,1
California,2020,12,0,1
Colorado,2020,1,0,1
Colorado,2020,2,0,1
Colorado,2020,3,0,1
Colorado,2020,4,0,1
Colorado,2020,5,0,1
Colorado,2020,6,0,1
Colorado,2020,7,0,1
Colorado,2020,8,0,1
Colorado,2020,9,0,1
Colorado,2020,10,0,1
Colorado,2020,11,0,1
Colorado,2020,12,0,1
Connecticut,2020,1,0,1
Connecticut,2020,2,0,1
Connecticut,2020,3,0,1
Connecticut,2020,4,0,1
Connecticut,2020,5,0,1
Connecticut,2020,6,0,1
Connecticut,2020,7,0,1
Connecticut,2020,8,0,1
Connecticut,2020,9,0,1
Connecticut,2020,10,0,1
Connecticut,2020,11,0,1
Connecticut,2020,12,0,1
Delaware,2020,1,0,1
Delaware,2020,2,0,1
Delaware,2020,3,0,1
Delaware,2020,4,0,1
Delaware,2020,5,0,1
Delaware,2020,6,0,1
Delaware,2020,7,0,1
Delaware,2020,8,0,1
Delaware,2020,9,0,1
Delaware,2020,10,0,1
Delaware,2020,11,0,1
Delaware,2020,12,0,1
Florida,2020,1,1,0
Florida,2020,2,1,0
Florida,2020,3,1,0
Florida,2020,4,1,0
Florida,2020,5,1,0
Florida,2020,6,1,0
Florida,2020,7,1,0
Florida,2020,8,1,0
Florida,2020,9,1,0
Florida,2020,10,1,0
Florida,2020,11,1,0
Florida,2020,12,1,0
Georgia,2020,1,0,1
Georgia,2020,2,0,1
Georgia,2020,3,0,1
Georgia,2020,4,0,1
Georgia,2020,5,0,1
Georgia,2020,6,0,1
Georgia,2020,7,0,1
Georgia,2020,8,0,1
Georgia,2020,9,0,1
Georgia,2020,10,0,1
Georgia,2020,11,0,1
Georgia,2020,12,0,1
Hawaii,2020,1,0,1
Hawaii,2020,2,0,1
Hawaii,2020,3,0,1
Hawaii,2020,4,0,1
Hawaii,2020,5,0,1
Hawaii,2020,6,0,1
Hawaii,2020,7,0,1
Hawaii,2020,8,0,1
Hawaii,2020,9,0,1
Hawaii,2020,10,0,1
Hawaii,2020,11,0,1
Hawaii,2020,12,0,1
Illinois,2020,1,0,1
Illinois,2020,2,0,1
Illinois,2020,3,0,1
Illinois,2020,4,0,1
Illinois,2020,5,0,1
Illinois,2020,6,0,1
Illinois,2020,7,0,1
Illinois,2020,8,0,1
Illinois,2020,9,0,1
Illinois,2020,10,0,1
Illinois,2020,11,0,1
Illinois,2020,12,0,1
Indiana,2020,1,1,0
Indiana,2020,2,1,0
Indiana,2020,3,1,0
Indiana,2020,4,1,0
Indiana,2020,5,1,0
Indiana,2020,6,1,0
Indiana,2020,7,1,0
Indiana,2020,8,1,0
Indiana,2020,9,1,0
Indiana,2020,10,1,0
Indiana,2020,11,1,0
Indiana,2020,12,1,0
Iowa,2020,1,1,0
Iowa,2020,2,1,0
Iowa,2020,3,1,0
Iowa,2020,4,1,0
Iowa,2020,5,1,0
Iowa,2020,6,1,0
Iowa,2020,7,1,0
Iowa,2020,8,1,0
Iowa,2020,9,1,0
Iowa,2020,10,1,0
Iowa,2020,11,1,0
Iowa,2020,12,1,0
Kansas,2020,1,1,0
Kansas,2020,2,1,0
Kansas,2020,3,1,0
Kansas,2020,4,1,0
Kansas,2020,5,1,0
Kansas,2020,6,1,0
Kansas,2020,7,1,0
Kansas,2020,8,1,0
Kansas,2020,9,1,0
Kansas,2020,10,1,0
Kansas,2020,11,1,0
Kansas,2020,12,1,0
Kentucky,2020,1,1,0
Kentucky,2020,2,1,0
Kentucky,2020,3,1,0
Kentucky,2020,4,1,0
Kentucky,2020,5,1,0
Kentucky,2020,6,1,0
Kentucky,2020,7,1,0
Kentucky,2020,8,1,0
Kentucky,2020,9,1,0
Kentucky,2020,10,1,0
Kentucky,2020,11,1,0
Kentucky,2020,12,1,0
Louisiana,2020,1,1,0
Louisiana,2020,2,1,0
Louisiana,2020,3,1,0
Louisiana,2020,4,1,0
Louisiana,2020,5,1,0
Louisiana,2020,6,1,0
Louisiana,2020,7,1,0
Louisiana,2020,8,1,0
Louisiana,2020,9,1,0
Louisiana,2020,10,1,0
Louisiana,2020,11,1,0
Louisiana,2020,12,1,0
Maine,2020,1,0,1
Maine,2020,2,0,1
Maine,2020,3,0,1
Maine,2020,4,0,1
Maine,2020,5,0,1
Maine,2020,6,0,1
Maine,2020,7,0,1
Maine,2020,8,0,1
Maine,2020,9,0,1
Maine,2020,10,0,1
Maine,2020,11,0,1
Maine,2020,12,0,1
Maryland,2020,1,0,1
Maryland,2020,2,0,1
Maryland,2020,3,0,1
Maryland,2020,4,0,1
Maryland,2020,5,0,1
Maryland,2020,6,0,1
Maryland,2020,7,0,1
Maryland,2020,8,0,1
Maryland,2020,9,0,1
Maryland,2020,10,0,1
Maryland,2020,11,0,1
Maryland,2020,12,0,1
Massachusetts,2020,1,0,1
Massachusetts,2020,2,0,1
Massachusetts,2020,3,0,1
Massachusetts,2020,4,0,1
Massachusetts,2020,5,0,1
Massachusetts,2020,6,0,1
Massachusetts,2020,7,0,1
Massachusetts,2020,8,0,1
Massachusetts,2020,9,0,1
Massachusetts,2020,10,0,1
Massachusetts,2020,11,0,1
Massachusetts,2020,12,0,1
Michigan,2020,1,0,1
Michigan,2020,2,0,1
Michigan,2020,3,0,1
Michigan,2020,4,0,1
Michigan,2020,5,0,1
Michigan,2020,6,0,1
Michigan,2020,7,0,1
Michigan,2020,8,0,1
Michigan,2020,9,0,1
Michigan,2020,10,0,1
Michigan,2020,11,0,1
Michigan,2020,12,0,1
Minnesota,2020,1,0,1
Minnesota,2020,2,0,1
Minnesota,2020,3,0,1
Minnesota,2020,4,0,1
Minnesota,2020,5,0,1
Minnesota,2020,6,0,1
Minnesota,2020,7,0,1
Minnesota,2020,8,0,1
Minnesota,2020,9,0,1
Minnesota,2020,10,0,1
Minnesota,2020,11,0,1
Minnesota,2020,12,0,1
Mississippi,2020,1,1,0
Mississippi,2020,2,1,0
Mississippi,2020,3,1,0
Mississippi,2020,4,1,0
Mississippi,2020,5,1,0
Mississippi,2020,6,1,0
Mississippi,2020,7,1,0
Mississippi,2020,8,1,0
Mississippi,2020,9,1,0
Mississippi,2020,10,1,0
Mississippi,2020,11,1,0
Mississippi,2020,12,1,0
Missouri,2020,1,1,0
Missouri,2020,2,1,0
Missouri,2020,3,1,0
Missouri,2020,4,1,0
Missouri,2020,5,1,0
Missouri,2020,6,1,0
Missouri,2020,7,1,0
Missouri,2020,8,1,0
Missouri,2020,9,1,0
Missouri,2020,10,1,0
Missouri,2020,11,1,0
Missouri,2020,12,1,0
Montana,2020,1,1,0
Montana,2020,2,1,0
Montana,2020,3,1,0
Montana,2020,4,1,0
Montana,2020,5,1,0
Montana,2020,6,1,0
Montana,2020,7,1,0
Montana,2020,8,1,0
Montana,2020,9,1,0
Montana,2020,10,1,0
Montana,2020,11,1,0
Montana,2020,12,1,0
Nebraska,2020,1,1,0
Nebraska,2020,2,1,0
Nebraska,2020,3,1,0
Nebraska,2020,4,1,0
Nebraska,2020,5,1,0
Nebraska,2020,6,1,0
Nebraska,2020,7,1,0
Nebraska,2020,8,1,0
Nebraska,2020,9,1,0
Nebraska,2020,10,1,0
Nebraska,2020,11,1,0
Nebraska,2020,12,1,0
Nevada,2020,1,0,1
Nevada,2020,2,0,1
Nevada,2020,3,0,1
Nevada,2020,4,0,1
Nevada,2020,5,0,1
Nevada,2020,6,0,1
Nevada,2020,7,0,1
Nevada,2020,8,0,1
Nevada,2020,9,0,1
Nevada,2020,10,0,1
Nevada,2020,11,0,1
Nevada,2020,12,0,1
New Hampshire,2020,1,0,1
New Hampshire,2020,2,0,1
New Hampshire,2020,3,0,1
New Hampshire,2020,4,0,1
New Hampshire,2020,5,0,1
New Hampshire,2020,6,0,1
New Hampshire,2020,7,0,1
New Hampshire,2020,8,0,1
New Hampshire,2020,9,0,1
New Hampshire,2020,10,0,1
New Hampshire,2020,11,0,1
New Hampshire,2020,12,0,1
New Jersey,2020,1,0,1
New Jersey,2020,2,0,1
New Jersey,2020,3,0,1
New Jersey,2020,4,0,1
New Jersey,2020,5,0,1
New Jersey,2020,6,0,1
New Jersey,2020,7,0,1
New Jersey,2020,8,0,1
New Jersey,2020,9,0,1
New Jersey,2020,10,0,1
New Jersey,2020,11,0,1
New Jersey,2020,12,0,1
New Mexico,2020,1,0,1
New Mexico,2020,2,0,1
New Mexico,2020,3,0,1
New Mexico,2020,4,0,1
New Mexico,2020,5,0,1
New Mexico,2020,6,0,1
New Mexico,2020,7,0,1
New Mexico,2020,8,0,1
New Mexico,2020,9,0,1
New Mexico,2020,10,0,1
New Mexico,2020,11,0,1
New Mexico,2020,12,0,1
New York,2020,1,0,1
New York,2020,2,0,1
New York,2020,3,0,1
New York,2020,4,0,1
New York,2020,5,0,1
New York,2020,6,0,1
New York,2020,7,0,1
New York,2020,8,0,1
New York,2020,9,0,1
New York,2020,10,0,1
New York,2020,11,0,1
New York,2020,12,0,1
North Carolina,2020,1,1,0
North Carolina,2020,2,1,0
North Carolina,2020,3,1,0
North Carolina,2020,4,1,0
North Carolina,2020,5,1,0
North Carolina,2020,6,1,0
North Carolina,2020,7,1,0
North Carolina,2020,8,1,0
North Carolina,2020,9,1,0
North Carolina,2020,10,1,0
North Carolina,2020,11,1,0
North Carolina,2020,12,1,0
North Dakota,2020,1,1,0
North Dakota,2020,2,1,0
North Dakota,2020,3,1,0
North Dakota,2020,4,1,0
North Dakota,2020,5,1,0
North Dakota,2020,6,1,0
North Dakota,2020,7,1,0
North Dakota,2020,8,1,0
North Dakota,2020,9,1,0
North Dakota,2020,10,1,0
North Dakota,2020,11,1,0
North Dakota,2020,12,1,0
Ohio,2020,1,1,0
Ohio,2020,2,1,0
Ohio,2020,3,1,0
Ohio,2020,4,1,0
